city,district,year,lat,lon,heat_cases_per_100k
Singapore,S108,2024,1.2799,103.8703,42.2
Singapore,S109,2024,1.3764,103.8492,38.4
Singapore,S117,2024,1.2560,103.6790,33.1
Singapore,S107,2024,1.3135,103.9625,45.0
Singapore,S104,2024,1.44387,103.78538,36.5
Singapore,S115,2024,1.29377,103.61843,34.2
Singapore,S116,2024,1.2810,103.7540,39.8
Singapore,S102,2024,1.1890,103.7680,31.9
Singapore,S60,2024,1.2500,103.8279,30.4
Singapore,S50,2024,1.3337,103.7768,35.7
Singapore,S44,2024,1.34583,103.68166,37.1
Singapore,S43,2024,1.3399,103.8878,40.6
Singapore,S24,2024,1.3678,103.9826,41.3
Singapore,S111,2024,1.31055,103.8365,43.5
Singapore,S121,2024,1.37288,103.72244,35.0
