city,district,year,lat,lon,heat_cases_per_100k,temperature_c,population,elderly_share,income_index,distance_km_to_temp
Singapore,S108,2024,1.279900,103.870300,42.200000,29.000000,120000.000000,0.120000,1.100000,0.000000
Singapore,S109,2024,1.376400,103.849200,38.400000,28.900000,180000.000000,0.140000,1.050000,0.000000
Singapore,S117,2024,1.256000,103.679000,33.100000,28.600000,70000.000000,0.090000,0.950000,0.000000
Singapore,S107,2024,1.313500,103.962500,45.000000,29.500000,110000.000000,0.110000,1.080000,0.000000
Singapore,S104,2024,1.443870,103.785380,36.500000,28.500000,160000.000000,0.130000,1.000000,0.000000
Singapore,S115,2024,1.293770,103.618430,34.200000,29.200000,90000.000000,0.100000,0.970000,0.000000
Singapore,S116,2024,1.281000,103.754000,39.800000,29.500000,130000.000000,0.120000,1.030000,0.000000
Singapore,S102,2024,1.189000,103.768000,31.900000,28.800000,50000.000000,0.080000,0.900000,0.000000
Singapore,S60,2024,1.250000,103.827900,30.400000,28.400000,40000.000000,0.070000,1.200000,0.000000
Singapore,S50,2024,1.333700,103.776800,35.700000,28.200000,100000.000000,0.110000,1.020000,0.000000
Singapore,S44,2024,1.345830,103.681660,37.100000,29.100000,95000.000000,0.100000,0.990000,0.000000
Singapore,S43,2024,1.339900,103.887800,40.600000,29.200000,140000.000000,0.130000,1.010000,0.000000
Singapore,S24,2024,1.367800,103.982600,41.300000,28.900000,125000.000000,0.120000,1.040000,0.000000
Singapore,S111,2024,1.310550,103.836500,43.500000,28.300000,115000.000000,0.140000,1.300000,0.000000
Singapore,S121,2024,1.372880,103.722440,35.000000,28.500000,105000.000000,0.110000,0.980000,0.000000
